scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
f_scale,0.6,Full,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-VQ,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-GPD,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-Lyapunov,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-Priority,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25333333333333335,0.115,0.1,0.105,0.105,0.08833333333333333,0.12333333333333334,0.11,1.7048301233773628,0.0028413835389622714,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,Random,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,14.455267059813432,0.024092111766355718,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,Full,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-VQ,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-GPD,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-Lyapunov,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-Priority,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.24833333333333332,0.12,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,2.1428353197239813,0.003571392199539969,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,Random,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,15.544496256138308,0.025907493760230514,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-VQ,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
